,environment_score,governance_score,social_score,environment_grade,social_grade,governance_grade,Name,Returns,Variance,clusters,sharpe
ECL,540.0,305.0,339.0,A,BB,BB,Ecolab Inc.,-0.025238818500386666,0.26944199285276355,1.0,-0.09367069413778574
EMR,600.0,315.0,322.0,AA,BB,BB,Emerson Electric Co.,0.29293775234783415,0.27678890370940773,0.0,1.0583435550414282
FCX,360.0,300.0,305.0,BB,BB,BB,Freeport-McMoRan Inc.,0.8973468879591354,0.49804405711385014,3.0,1.8017419847537843
SLB,545.0,220.0,306.0,A,BB,B,Schlumberger Limited,0.5633867288262339,0.498949491619149,4.0,1.1291458119297377
KLAC,500.0,300.0,300.0,A,BB,BB,KLA Corporation,0.46309257126532394,0.4249997005473204,4.0,1.0896303471954145
EXC,632.0,323.0,512.0,AA,A,BB,Exelon Corporation,0.18534327353677887,0.2920303796563591,0.0,0.6346712069986619
MET,570.0,305.0,300.0,A,BB,BB,"MetLife, Inc.",0.38031128644599116,0.324005358476994,0.0,1.1737808542231105
AON,300.0,243.0,331.0,BB,BB,B,Aon Plc,0.27394773535227185,0.2508093268766839,0.0,1.0922549761754454
GD,500.0,300.0,303.0,A,BB,BB,General Dynamics Corporation,0.34834521255308487,0.23339797623634848,0.0,1.492494571591041
NOC,500.0,300.0,304.0,A,BB,BB,Northrop Grumman Corporation,0.18680118622087274,0.2511543351512943,0.0,0.7437705031384169
MRNA,500.0,300.0,300.0,A,BB,BB,"Moderna, Inc.",0.8407985950927879,0.8395716039258996,3.0,1.0014614491023168
COF,505.0,325.0,322.0,A,BB,BB,Capital One Financial Corporation,0.4368843946950714,0.40782470144299704,4.0,1.0712553534625369
MCO,505.0,245.0,311.0,A,BB,B,Moodys Corporation,0.15766019398101888,0.24445167485136815,1.0,0.6449544437643131
PSA,240.0,205.0,257.0,B,B,B,Public Storage,0.38714713418549873,0.22894778483154996,0.0,1.6909844070793048
APD,700.0,300.0,368.0,AA,BB,BB,"Air Products and Chemicals, Inc.",0.054779171355238424,0.24916519316287952,1.0,0.21985081728260988
WM,647.0,290.0,395.0,AA,BB,B,"Waste Management, Inc.",0.2713400720612153,0.19674489947509055,0.0,1.3791466654797273
EQIX,540.0,320.0,365.0,A,BB,BB,"Equinix, Inc. (REIT)",0.06755626319847817,0.2702352354741197,1.0,0.24999057979967976
BSX,510.0,300.0,424.0,A,BBB,BB,Boston Scientific Corporation,0.12095481142920053,0.2821865412084399,1.0,0.42863423220406555
ETN,520.0,300.0,307.0,A,BB,BB,Eaton Corporation plc,0.33821645064237893,0.26527176813679665,0.0,1.2749809488507868
PGR,346.0,250.0,347.0,BB,BB,B,The Progressive Corporation,0.20198469278579842,0.23440660500143248,0.0,0.8616851593604372
D,510.0,300.0,304.0,A,BB,BB,"Dominion Energy, Inc.",0.05850439214357784,0.20506582180064295,1.0,0.28529567545611545
