,environment_score,governance_score,social_score,environment_grade,social_grade,governance_grade,Name,Returns,Variance,clusters,sharpe
NVR,275.0,205.0,200.0,B,B,B,"NVR, Inc.",0.23198347585411602,0.32571644252913917,0.0,0.7122252535143735
IP,665.0,328.0,326.0,AA,BB,BB,International Paper Company,0.20820417694157844,0.29667778225807423,0.0,0.7017855376863565
POOL,593.0,310.0,370.0,A,BB,BB,Pool Corporation,0.37165534428058744,0.3232668953196752,0.0,1.1496857539744718
GPC,510.0,320.0,211.0,A,B,BB,Genuine Parts Company,0.3084989372460188,0.2696790267514877,0.0,1.1439485708701556
PEAK,535.0,335.0,331.0,A,BB,BB,"Healthpeak Properties, Inc.",0.17570804793519348,0.2894047157276992,0.0,0.6071360913846239
TDY,500.0,298.0,300.0,A,BB,B,Teledyne Technologies Incorporated,0.19138604986961708,0.27582617134814685,0.0,0.6938647226047678
WAT,320.0,240.0,304.0,BB,BB,B,Waters Corporation,0.29789845305371765,0.2751023361737753,0.0,1.082864134114596
EXPD,510.0,300.0,302.0,A,BB,BB,"Expeditors International of Washington, Inc.",0.19111576895900512,0.2298634654063912,0.0,0.8314316875938444
JBHT,535.0,300.0,391.0,A,BB,BB,"J.B. Hunt Transport Services, Inc.",0.30812066883483896,0.2866284124909525,0.0,1.07498299333659
HPE,410.0,250.0,311.0,BBB,BB,B,Hewlett Packard Enterprise Company,0.31245344616246473,0.35540121567601174,0.0,0.8791569425786694
PKI,520.0,325.0,314.0,A,BB,BB,"PerkinElmer, Inc.",0.310245653754599,0.30999416760996407,0.0,1.000811260891048
ESS,377.0,210.0,304.0,BB,BB,B,"Essex Property Trust, Inc.",0.19464272004134417,0.2863123757034587,0.0,0.6798264293085982
RJF,500.0,305.0,309.0,A,BB,BB,"Raymond James Financial, Inc.",0.3117650644234413,0.4033928810123771,0.0,0.7728571303514788
DRE,513.0,300.0,306.0,A,BB,BB,Duke Realty Corporation,0.2834044134440641,0.22854735897466516,0.0,1.2400248890011454
STE,510.0,305.0,301.0,A,BB,BB,STERIS plc,0.2687074899789851,0.24821169163637496,0.0,1.0825738634932478
HBAN,243.0,285.0,300.0,B,BB,B,Huntington Bancshares Incorporated,0.31239154750058334,0.4242734428302142,0.0,0.736297670239983
IR,525.0,310.0,314.0,A,BB,BB,Ingersoll Rand Inc.,0.2917555105269916,0.3288535270578371,0.0,0.8871898475204103
MAA,285.0,210.0,261.0,B,B,B,"Mid-America Apartment Communities, Inc.",0.31802953033896003,0.23516310496602644,0.0,1.3523785135636186
GRMN,212.0,200.0,200.0,B,B,B,Garmin Ltd.,0.1913081915415704,0.24779986928692213,0.0,0.7720270074882838
MLM,573.0,300.0,273.0,A,B,BB,"Martin Marietta Materials, Inc.",0.36673395111692164,0.33408580060950005,0.0,1.0977238495256574
NTRS,265.0,225.0,224.0,B,B,B,Northern Trust Corporation,0.21297070432180923,0.32689828317614417,0.0,0.6514892101989205
CHD,568.0,348.0,341.0,A,BB,BB,"Church & Dwight Co., Inc.",0.17398781361648966,0.20465835871522708,0.0,0.8501378331611947
DOV,515.0,300.0,302.0,A,BB,BB,Dover Corporation,0.22442274371455462,0.2479807252350336,0.0,0.905000755610538
VMC,565.0,300.0,319.0,A,BB,BB,Vulcan Materials Company,0.26959254332239985,0.3234392612491844,0.0,0.8335183004103516
CDW,265.0,200.0,213.0,B,B,B,CDW Corporation,0.2507851890710879,0.2985601719429107,0.0,0.8399820627080892
GWW,255.0,240.0,385.0,B,BB,B,"W.W. Grainger, Inc.",0.3353427468692728,0.24431254084681492,0.0,1.3725973529927562
ZBRA,295.0,300.0,301.0,B,BB,BB,Zebra Technologies Corporation,0.29614810775640654,0.33322510785755477,0.0,0.8887328738835679
LH,500.0,300.0,300.0,A,BB,BB,Laboratory Corporation of America Holdings,0.24377965986213304,0.25323023740627937,0.0,0.9626799009433303
EXR,587.0,220.0,262.0,A,B,B,Extra Space Storage Inc.,0.4383480306782155,0.2685454603780969,0.0,1.6323047504174755
O,500.0,300.0,300.0,A,BB,BB,Realty Income Corporation,0.1871194048342547,0.24074370484543747,0.0,0.7772556501711615
EFX,390.0,300.0,324.0,BB,BB,BB,Equifax Inc.,0.23010311625092272,0.31265225258204626,0.0,0.7359714006555542
LEN,278.0,210.0,303.0,B,BB,B,Lennar Corporation,0.3060940418211342,0.4182607902943177,0.0,0.7318258104130319
ABC,523.0,329.0,310.0,A,BB,BB,AmerisourceBergen Corporation,0.31139678459648823,0.24622967567304072,0.0,1.2646598495706118
FRC,290.0,283.0,319.0,B,BB,B,First Republic Bank,0.25300445356996604,0.30703242033622385,0.0,0.8240317204707793
WST,535.0,305.0,330.0,A,BB,BB,"West Pharmaceutical Services, Inc.",0.3010551767388585,0.29164019821332415,0.0,1.0322828560096082
NDAQ,510.0,305.0,314.0,A,BB,BB,"Nasdaq, Inc.",0.22297054743729988,0.22415920271945897,0.0,0.9946972719935718
CPRT,265.0,200.0,203.0,B,B,B,"Copart, Inc.",0.2272636621819364,0.27655289419209156,0.0,0.821772857759647
KEYS,515.0,305.0,321.0,A,BB,BB,"Keysight Technologies, Inc.",0.24319321764445032,0.28085181424164274,0.0,0.8659129309921735
DHI,240.0,200.0,203.0,B,B,B,"D.R. Horton, Inc.",0.2826740485867838,0.3906281306618397,0.0,0.7236397647753895
AME,525.0,245.0,305.0,A,BB,B,"AMETEK, Inc.",0.2562625162999355,0.22388548015799697,0.0,1.1446142738648792
AJG,530.0,310.0,344.0,A,BB,BB,Arthur J. Gallagher & Co.,0.3972674589254601,0.21891876102625055,0.0,1.814679824895518
MTD,505.0,240.0,300.0,A,BB,B,Mettler-Toledo International Inc.,0.34536301606962644,0.2705004961429955,0.0,1.276755573442853
EQR,240.0,200.0,206.0,B,B,B,Equity Residential,0.1765481786585331,0.2962562450502543,0.0,0.5959306566806213
TSN,563.0,315.0,384.0,A,BB,BB,"Tyson Foods, Inc.",0.30092374142986583,0.2816981371829837,0.0,1.0682489576932974
TDG,500.0,300.0,300.0,A,BB,BB,TransDigm Group Incorporated,0.34071625039076764,0.35809283985590395,0.0,0.9514746246472601
ODFL,387.0,280.0,378.0,BB,BB,B,"Old Dominion Freight Line, Inc.",0.36149392292530896,0.2873209544398972,0.0,1.258153703512521
PEG,500.0,205.0,300.0,A,BB,B,Public Service Enterprise Group Incorporated,0.2009991307208369,0.22767661075095005,0.0,0.88282731396026
AVB,500.0,298.0,300.0,A,BB,B,"AvalonBay Communities, Inc.",0.21673384616525998,0.2630532348345134,0.0,0.8239162932233358
ROK,270.0,210.0,222.0,B,B,B,"Rockwell Automation, Inc.",0.18101393268785315,0.2546769102109467,0.0,0.7107591046943394
KR,505.0,300.0,319.0,A,BB,BB,The Kroger Co.,0.3018294139774443,0.3100092525477072,0.0,0.9736142115016256
GLW,200.0,200.0,200.0,B,B,B,Corning Incorporated,0.31906000005909446,0.30107151912285146,0.0,1.0597481986627333
YUM,510.0,300.0,305.0,A,BB,BB,"Yum! Brands, Inc.",0.19436167717066802,0.21222379559823373,0.0,0.915833573811954
WMB,350.0,300.0,300.0,BB,BB,BB,"The Williams Companies, Inc.",0.33652029969930314,0.29491685239493404,0.0,1.1410683959445505
PPG,350.0,260.0,305.0,BB,BB,B,"PPG Industries, Inc.",0.23315894406085347,0.2768857238993715,0.0,0.8420764378072102
