,Returns,Variance,clusters,sharpe
FOX,0.2074604281981532,0.3382943002434129,0,0.6132542819931617
FOXA,0.2438905871871894,0.3557056125495985,0,0.6856529067366969
GILD,-0.1287132777751241,0.2136673483527112,1,-0.6024003141680346
GOOG,0.3139782880720694,0.2753844237831003,0,1.1401454147579773
GOOGL,0.312306224079212,0.2776046231753816,0,1.1250036851220124
HSIC,0.2649398735577713,0.3056872207344307,0,0.866702484066028
ILMN,0.0551943288119299,0.3866389516176761,1,0.1427541859944527
INCY,-0.0975165830514588,0.3227308966671928,1,-0.302160667164198
INTC,-0.0847029288052662,0.3382004153191389,1,-0.2504518769598117
INTU,0.279697651190272,0.3322631303886442,0,0.8417956300571571
ISRG,-0.1048112227011664,0.5762282464813975,1,-0.1818918516077119
JD,0.3557758755635592,0.5897666206785911,4,0.603248578487199
KHC,0.2237541882798109,0.2415363756467197,0,0.9263788432723786
LBTYA,0.0483161868127655,0.294448830040736,1,0.1640902658912965
LRCX,0.4410921478579275,0.4395031855938469,4,1.0036153600614603
MAR,0.4684829568361581,0.4128459301552386,4,1.1347646243236522
MAT,0.5885156187276556,0.3632159551831314,4,1.620291207832347
MDLZ,0.1425123965035329,0.1755671746977917,1,0.8117257496957683
MNST,0.2165724684726215,0.2493709845449172,0,0.8684750107068373
MSFT,0.2559927512542276,0.2657772474800677,0,0.9631853504443644
MU,0.3048269682671702,0.4248979253690078,0,0.7174122302490403
NCLH,0.4509634638132726,0.7623900786785449,4,0.5915127654794907
NTAP,0.3567607063349926,0.3478069543195083,0,1.02574345309743
NTES,-0.0712983603044703,0.7692200288410587,1,-0.0926891625688577
NVDA,0.2118523092829743,0.7194151003381383,4,0.2944785412252257
NXPI,0.3697408144419384,0.4086204261013202,4,0.9048515219115812
ORLY,0.2530395655834784,0.2392592194687253,0,1.0575958834328405
PAYX,0.3471615288550949,0.2380964934895206,0,1.4580707332860177
PCAR,0.1303511995195068,0.2568451351915861,1,0.5075089291540414
PYPL,-0.063719947211535,0.457859681176846,1,-0.1391691599656784
QCOM,0.3894580627437584,0.4065699394516817,4,0.957911603767359
REGN,0.1422850246535389,0.2970345468838084,1,0.4790184379098398
ROST,0.1242272194558122,0.357943621574409,1,0.3470580615723806
SBAC,0.1253286662424486,0.2550010182513978,1,0.4914830030948773
SBUX,0.0549251810655073,0.2684702945589867,1,0.2045856922671179
SIRI,0.064187138129924,0.293053820200962,1,0.2190284981984115
SRCL,0.0869677510012263,0.2999233253156123,1,0.2899666136660404
STX,0.3529253183558359,0.3670442057566148,0,0.9615335505115126
SWKS,0.1379967461536,0.3829219520696271,1,0.3603782583049925
TMUS,0.2019483393197856,0.2795016366795415,0,0.7225300778876174
TRIP,0.3525214241248482,0.6309196057859187,4,0.5587422246701659
TSCO,0.3799167132268024,0.2832698205258195,0,1.3411831607108098
TSLA,0.6311777822964547,0.844197117998161,3,0.7476663552147186
TXN,0.2553285877266066,0.2764608121169871,0,0.923561591863377
ULTA,0.3789393863762653,0.3813900384589828,4,0.9935744203162218
VRSK,0.1673231298430299,0.2335728279708896,1,0.7163638480409353
VRTX,0.0665943883469005,0.3127241475488744,1,0.212949300106391
WBA,0.0516501755273802,0.323506028580113,1,0.1596575363806228
WDC,0.2533383011027481,0.4625649119734442,0,0.5476816216386344
NLSN,0.4161169385202205,0.4489261314648438,4,0.926916277211204
PVH,0.411180381867384,0.5743070089574581,4,0.7159591916069445
GPS,0.4315145218191461,0.6404124751451251,4,0.6738071767283418
ALK,0.4443868743686944,0.5037282251329297,4,0.8821957003728041
PENN,0.6774389459696795,0.7117065620323074,3,0.9518514822109052
DXC,0.4070042998841732,0.5134654700601388,4,0.7926614808908251
VNO,0.0821816157845411,0.4492279639025494,1,0.1829396706977233
UA,0.3518951394324426,0.4625227545404663,4,0.7608169240928777
HII,0.1268572504435345,0.2928258260732272,1,0.4332174253366956
IPGP,-0.0241597503825895,0.4281194853654616,1,-0.0564322606385591
