,environment_score,governance_score,social_score,environment_grade,social_grade,governance_grade,Name,Returns,Variance,clusters,sharpe
IVZ,278.0,300.0,220.0,B,B,BB,Invictus Energy Limited,0.5120963288607011,0.4482955413390844,4.0,1.1423185859289169
PNR,402.0,335.0,351.0,BBB,BB,BB,Pentair plc,0.2338306339407362,0.2821705683690617,0.0,0.828685412841853
TPR,515.0,313.0,364.0,A,BB,BB,"Tapestry, Inc.",0.5152833307801725,0.4750244542418627,4.0,1.0847511663427156
GL,215.0,215.0,238.0,B,B,B,Group Lease Public Company Limited,0.1545026645235245,0.2932976471963381,1.0,0.5267777154042359
MHK,520.0,238.0,281.0,A,B,B,"Mohawk Industries, Inc.",0.3672881916427671,0.4740940628203546,4.0,0.7747158643113851
JNPR,225.0,205.0,332.0,B,BB,B,"Juniper Networks, Inc.",0.2284270184247574,0.2747089716242367,0.0,0.8315236924158906
CDAY,560.0,320.0,379.0,A,BB,BB,Ceridian HCM Holding Inc.,0.0721823138239233,0.4316597778479228,1.0,0.1672203840343766
BWA,245.0,228.0,205.0,B,B,B,BorgWarner Inc.,0.2228637274725607,0.3669584067103245,0.0,0.6073269433189155
ZION,200.0,200.0,200.0,B,B,B,"Zions Bancorporation, National Association",0.4119277555206524,0.4632590694437372,4.0,0.889195231547822
UHS,415.0,338.0,321.0,BBB,BB,BB,"Universal Health Services, Inc.",0.1719005483890631,0.3504392351068406,1.0,0.4905288311585739
ALLE,542.0,315.0,322.0,A,BB,BB,Allegion plc,0.133839344818552,0.2827827314085312,1.0,0.4732939106709337
NI,321.0,213.0,298.0,BB,B,B,NiSource Inc.,0.1135686265710228,0.2225966892605328,1.0,0.5101990822428596
SNA,500.0,256.0,300.0,A,BB,B,Snap-on Incorporated,0.3250993321280914,0.2975017772937907,0.0,1.0927643360162091
SEDG,740.0,250.0,302.0,AA,BB,B,"SolarEdge Technologies, Inc.",0.6555519793866832,0.6762426696759509,3.0,0.9694034534981614
RE,448.0,290.0,272.0,BBB,B,B,"Everest Re Group, Ltd.",0.3045184616446232,0.2905819287498722,0.0,1.047960769462534
DVA,220.0,300.0,300.0,B,BB,BB,DaVita Inc.,0.2260559860322644,0.2895070913740675,0.0,0.7808305660471062
XRAY,460.0,230.0,253.0,BBB,B,B,DENTSPLY SIRONA Inc.,0.0651673293879511,0.3472170214338184,1.0,0.187684719829821
WRK,535.0,300.0,318.0,A,BB,BB,WestRock Company,0.3290166709635634,0.4048331834418651,0.0,0.8127215960072377
JKHY,365.0,310.0,277.0,BB,B,BB,"Jack Henry & Associates, Inc.",0.113436475643875,0.2618632448439414,1.0,0.4331897579268065
HST,505.0,318.0,318.0,A,BB,BB,"Host Hotels & Resorts, Inc.",0.4096361358398553,0.4705134042997862,4.0,0.8706152302918386
REG,570.0,365.0,372.0,A,BB,BB,Regency Centers Corporation,0.3509909046061516,0.4181119075894274,4.0,0.839466416131859
APA,410.0,325.0,323.0,BBB,BB,BB,Apache Corporation,0.8311100952244275,0.6647466401677838,3.0,1.250265958493078
CMA,280.0,230.0,300.0,B,BB,B,Comerica Incorporated,0.5766017322328157,0.4656127543644052,4.0,1.2383718590782986
WHR,505.0,300.0,320.0,A,BB,BB,Whirlpool Corporation,0.3262630714945392,0.3345613329969552,0.0,0.9751965912256468
AOS,505.0,300.0,309.0,A,BB,BB,A. O. Smith Corporation,0.2102721404570338,0.2982922872655604,0.0,0.7049198032728048
HAS,265.0,320.0,327.0,B,BB,BB,"Hasbro, Inc.",0.1696887249106607,0.3096880854869467,1.0,0.547934301843889
CBOE,515.0,300.0,307.0,A,BB,BB,"Cboe Global Markets, Inc.",0.1281946708808661,0.2771964556345747,1.0,0.4624686509334877
FBHS,505.0,300.0,302.0,A,BB,BB,"Fortune Brands Home & Security, Inc.",0.2218256585636779,0.3321661092421817,0.0,0.6678154465239113
RHI,255.0,310.0,333.0,B,BB,BB,Robert Half International Inc.,0.4578198724047349,0.3390570714276448,4.0,1.3502737768512645
LNC,550.0,308.0,305.0,A,BB,BB,Lincoln National Corporation,0.4381426826416008,0.5197587702805979,4.0,0.8429731400300648
FFIV,260.0,215.0,220.0,B,B,B,"F5 Networks, Inc.",0.158439965007637,0.3209889922526723,1.0,0.4935993720398927
LDOS,540.0,300.0,300.0,A,BB,BB,"Leidos Holdings, Inc.",0.060171211440033,0.2719987680708431,1.0,0.2212186910506934
NWSA,505.0,310.0,306.0,A,BB,BB,News Corporation,0.4139960708835277,0.3207132859063061,4.0,1.290860369920794
NWS,500.0,308.0,301.0,A,BB,BB,News Corporation,0.4027225292963665,0.3250327637740979,4.0,1.2390213362498557
MKTX,255.0,210.0,214.0,B,B,B,MarketAxess Holdings Inc.,-0.2169108032168481,0.3426661033494754,1.0,-0.6330092212115505
ABMD,500.0,305.0,324.0,A,BB,BB,"Abiomed, Inc.",0.305970672620212,0.3873075761511446,0.0,0.7899940291919534
IRM,500.0,300.0,300.0,A,BB,BB,Iron Mountain Incorporated,0.4760679576420724,0.312043140144389,4.0,1.525647887730477
PHM,200.0,285.0,205.0,B,B,B,"PulteGroup, Inc.",0.294058839906191,0.4003857756359118,0.0,0.7344387782986365
PTC,555.0,400.0,316.0,A,BB,BBB,PTC Inc.,0.3444276192497078,0.3967505177133428,4.0,0.8681214109934974
HWM,515.0,320.0,306.0,A,BB,BB,Howmet Aerospace Inc.,0.6302892609820095,0.4572541235762045,4.0,1.3784222568677778
UAL,205.0,238.0,292.0,B,B,B,"United Airlines Holdings, Inc.",0.5496206624861779,0.6429235864155464,4.0,0.85487711774652
IPG,500.0,300.0,300.0,A,BB,BB,"The Interpublic Group of Companies, Inc.",0.426587527278962,0.3609282787176673,4.0,1.1819177172666375
CPB,532.0,305.0,342.0,A,BB,BB,Campbell Soup Company,-0.0088449483383249,0.2341507305161204,1.0,-0.037774592113502
CHRW,555.0,330.0,332.0,A,BB,BB,"C.H. Robinson Worldwide, Inc.",0.2487708128312827,0.2793992579250678,0.0,0.8903775002079664
PKG,500.0,300.0,303.0,A,BB,BB,Packaging Corporation of America,0.2965085859139343,0.2657058872053378,0.0,1.115927799088592
FMC,515.0,305.0,305.0,A,BB,BB,FMC Corporation,0.2352154470043048,0.2792906526709844,0.0,0.842188754814498
PWR,542.0,305.0,391.0,A,BB,BB,"Quanta Services, Inc.",0.6683062933624702,0.3542161362425197,4.0,1.886718940734263
TFX,200.0,200.0,200.0,B,B,B,Teleflex Incorporated,-0.0210068984889035,0.2995302364824223,1.0,-0.0701328144216797
TECH,520.0,300.0,269.0,A,B,BB,Bio-Techne Corporation,0.2990466931969383,0.3525436837382495,0.0,0.8482542929884662
ATO,518.0,300.0,301.0,A,BB,BB,Atmos Energy Corporation,0.0824557358037261,0.2148490078504299,1.0,0.3837845779633707
AAP,282.0,228.0,313.0,B,BB,B,"Advance Auto Parts, Inc.",0.2935829435079167,0.2772798216822216,0.0,1.0587966398953452
QRVO,510.0,300.0,309.0,A,BB,BB,"Qorvo, Inc.",0.1796312688226181,0.4106396364802799,1.0,0.4374425965362078
ROL,500.0,300.0,320.0,A,BB,BB,"Rollins, Inc.",-0.0233375151875941,0.3627002450275977,1.0,-0.0643438087168052
WRB,360.0,300.0,294.0,BB,B,BB,W. R. Berkley Corporation,0.2006690691835069,0.3558516974467448,0.0,0.5639120752361682
KIM,545.0,320.0,318.0,A,BB,BB,Kimco Realty Corporation,0.5503179435565809,0.4653087717451745,4.0,1.182694109746896
EVRG,563.0,300.0,339.0,A,BB,BB,"Evergy, Inc.",0.1159406019581004,0.2234517278266288,1.0,0.5188619622044551
LNT,552.0,300.0,305.0,A,BB,BB,Alliant Energy Corporation,0.1287498970685678,0.2072884591388268,1.0,0.6211146419026657
CF,530.0,305.0,343.0,A,BB,BB,"CF Industries Holdings, Inc.",0.7433763344409944,0.4201921197352399,3.0,1.7691344019240305
TXT,595.0,300.0,348.0,A,BB,BB,Textron Inc.,0.5733751552405059,0.3866931263002169,4.0,1.4827653150352476
AES,505.0,350.0,309.0,A,BB,BB,The AES Corporation,0.2912162966642226,0.3382122520780564,0.0,0.8610459700230271
NLOK,520.0,345.0,301.0,A,BB,BB,NortonLifeLock Inc,0.1410535236696598,0.3325932491675895,1.0,0.4241021849441831
CAH,518.0,319.0,310.0,A,BB,BB,"Cardinal Health, Inc.",0.1533875475715978,0.3070602960761742,1.0,0.4995355945776398
L,505.0,305.0,301.0,A,BB,BB,Loews Corporation,0.3870714028996205,0.2986415572393345,0.0,1.296106966752177
MOS,510.0,300.0,336.0,A,BB,BB,The Mosaic Company,1.001670536596154,0.5068605500158694,3.0,1.976225091033012
MAS,507.0,305.0,302.0,A,BB,BB,Masco Corporation,0.1742333440576539,0.2601225280706561,0.0,0.6698125892822617
CZR,285.0,200.0,208.0,B,B,B,"Caesars Entertainment, Inc.",1.6063771258996562,1.5826608293063589,2.0,1.014985078390859
SJM,500.0,305.0,307.0,A,BB,BB,The J. M. Smucker Company,0.1132077710043328,0.2259723396024988,1.0,0.5009806563204734
FDS,633.0,311.0,332.0,AA,BB,BB,FactSet Research Systems Inc.,0.2372010357679121,0.2613658333594267,0.0,0.9075441603023776
MRO,530.0,305.0,306.0,A,BB,BB,Melrose Industries PLC,0.9150619406385072,0.6123437872942826,3.0,1.4943598018391309
OMC,553.0,310.0,330.0,A,BB,BB,Omnicom Group Inc.,0.225685665461724,0.3368349241799573,0.0,0.6700186033593989
LKQ,505.0,305.0,300.0,A,BB,BB,LKQ Corporation,0.4155624348514578,0.3555955315918067,4.0,1.1686379550136978
DPZ,205.0,200.0,201.0,B,B,B,"Dominos Pizza, Inc.",0.0089419132432294,0.2818359293748125,1.0,0.0317273715351517
BEN,326.0,305.0,350.0,BB,BB,BB,"Franklin Resources, Inc.",0.2233110596111922,0.3894530759251211,0.0,0.5733965743645265
CRL,510.0,245.0,322.0,A,BB,B,"Charles River Laboratories International, Inc.",0.336517639745864,0.3362385162840091,0.0,1.000830135300797
IEX,360.0,240.0,306.0,BB,BB,B,IDEX Corporation,0.1442749900887351,0.2372038086943891,1.0,0.608232181780089
EMN,588.0,315.0,389.0,A,BB,BB,Eastman Chemical Company,0.3146068176831978,0.3161977165731721,0.0,0.9949686578789504
ENPH,703.0,315.0,325.0,AA,BB,BB,"Enphase Energy, Inc.",0.9278002863842124,0.7420634437821368,3.0,1.2502977934816664
GNRC,647.0,245.0,358.0,AA,BB,B,Generac Holdings Inc.,0.5310912472140775,0.4659200719131955,4.0,1.1398762990254343
AVY,540.0,325.0,347.0,A,BB,BB,Avery Dennison Corporation,0.3033540069579546,0.2834411305635593,0.0,1.0702540113172814
WAB,616.0,310.0,330.0,AA,BB,BB,Wabtec Corporation,0.3285711871329494,0.3469897790547979,0.0,0.9469189208626811
J,200.0,210.0,202.0,B,B,B,JAS Asset Public Company Limited,0.307415177942189,0.2761530043016577,0.0,1.113205987816746
DGX,230.0,205.0,300.0,B,BB,B,Quest Diagnostics Incorporated,0.1403088195906958,0.2414501815200261,1.0,0.5811087765906631
CTLT,468.0,305.0,301.0,BBB,BB,BB,"Catalent, Inc.",0.2117768999490399,0.3385301301731619,0.0,0.62557769921606
MPWR,330.0,235.0,287.0,BB,B,B,"Monolithic Power Systems, Inc.",0.467893562876045,0.4537505003051575,4.0,1.0311692495355398
TRMB,510.0,310.0,326.0,A,BB,BB,Trimble Inc.,0.4263132221338884,0.3454507935975986,4.0,1.234077993262575
UDR,220.0,230.0,304.0,B,BB,B,"UDR, Inc.",0.2306330693074733,0.2913658550262664,0.0,0.7915583289149715
BIO,285.0,300.0,227.0,B,B,BB,"Bio-Rad Laboratories, Inc.",0.1337866338396586,0.3176607670567286,1.0,0.4211619680933613
CAG,505.0,300.0,300.0,A,BB,BB,"Conagra Brands, Inc.",0.0474480823526293,0.2242567692001155,1.0,0.2115792647948525
KMX,234.0,305.0,238.0,B,B,BB,"CarMax, Inc.",0.1579732144331377,0.3667948034203281,1.0,0.4306855303293608
CTRA,500.0,300.0,282.0,A,B,BB,Coterra Energy Inc.,1.5001531508742445,0.9178297877175272,2.0,1.6344568142692857
HOLX,520.0,300.0,338.0,A,BB,BB,"Hologic, Inc.",0.2291617392580188,0.3011968931469621,0.0,0.7608369955735388
CNP,550.0,260.0,310.0,A,BB,B,"CenterPoint Energy, Inc.",0.3504412860827343,0.2685307697175962,0.0,1.3050321438071335
BXP,552.0,305.0,351.0,A,BB,BB,"Boston Properties, Inc.",0.199844762664672,0.3612528432628305,0.0,0.5531991412432272
DRI,645.0,310.0,334.0,AA,BB,BB,"Darden Restaurants, Inc.",0.3916040450899744,0.3990577354571684,4.0,0.9813217745080048
CE,500.0,300.0,251.0,A,B,BB,Credito Emiliano,0.3665179819259394,0.3081451465603615,0.0,1.1894329215214277
BRO,295.0,300.0,303.0,B,BB,BB,"Brown & Brown, Inc.",0.305826454685185,0.2317457230214961,0.0,1.319663856997341
BR,595.0,340.0,314.0,A,BB,BB,"Broadridge Financial Solutions, Inc.",0.1434818374185051,0.2237096709913984,1.0,0.6413752109269427
NVR,275.0,205.0,200.0,B,B,B,"NVR, Inc.",0.231983475854116,0.3257164425291391,0.0,0.7122252535143735
ETSY,227.0,200.0,215.0,B,B,B,"Etsy, Inc.",0.3611283908670366,0.6329470798555036,4.0,0.5705506864009533
TYL,370.0,305.0,306.0,BB,BB,BB,"Tyler Technologies, Inc.",0.1629741417272337,0.3129541937968193,1.0,0.5207603699122888
IP,665.0,328.0,326.0,AA,BB,BB,International Paper Company,0.2082041769415784,0.2966777822580742,0.0,0.7017855376863565
