,environment_score,governance_score,social_score,environment_grade,social_grade,governance_grade,Name
PHM,200.0,285.0,205.0,B,B,B,"PulteGroup, Inc."
PTC,555.0,400.0,316.0,A,BB,BBB,PTC Inc.
HWM,515.0,320.0,306.0,A,BB,BB,Howmet Aerospace Inc.
UAL,205.0,238.0,292.0,B,B,B,"United Airlines Holdings, Inc."
IPG,500.0,300.0,300.0,A,BB,BB,"The Interpublic Group of Companies, Inc."
CPB,532.0,305.0,342.0,A,BB,BB,Campbell Soup Company
CHRW,555.0,330.0,332.0,A,BB,BB,"C.H. Robinson Worldwide, Inc."
PKG,500.0,300.0,303.0,A,BB,BB,Packaging Corporation of America
BBWI,515.0,310.0,351.0,A,BB,BB,"Bath & Body Works, Inc."
FMC,515.0,305.0,305.0,A,BB,BB,FMC Corporation
PWR,542.0,305.0,391.0,A,BB,BB,"Quanta Services, Inc."
TFX,200.0,200.0,200.0,B,B,B,Teleflex Incorporated
TECH,520.0,300.0,269.0,A,B,BB,Bio-Techne Corporation
ATO,518.0,300.0,301.0,A,BB,BB,Atmos Energy Corporation
AAP,282.0,228.0,313.0,B,BB,B,"Advance Auto Parts, Inc."
QRVO,510.0,300.0,309.0,A,BB,BB,"Qorvo, Inc."
ROL,500.0,300.0,320.0,A,BB,BB,"Rollins, Inc."
WRB,360.0,300.0,294.0,BB,B,BB,W. R. Berkley Corporation
KIM,545.0,320.0,318.0,A,BB,BB,Kimco Realty Corporation
EVRG,563.0,300.0,339.0,A,BB,BB,"Evergy, Inc."
LNT,552.0,300.0,305.0,A,BB,BB,Alliant Energy Corporation
CF,530.0,305.0,343.0,A,BB,BB,"CF Industries Holdings, Inc."
TXT,595.0,300.0,348.0,A,BB,BB,Textron Inc.
AES,505.0,350.0,309.0,A,BB,BB,The AES Corporation
NLOK,520.0,345.0,301.0,A,BB,BB,NortonLifeLock Inc
CAH,518.0,319.0,310.0,A,BB,BB,"Cardinal Health, Inc."
L,505.0,305.0,301.0,A,BB,BB,Loews Corporation
MOS,510.0,300.0,336.0,A,BB,BB,The Mosaic Company
MAS,507.0,305.0,302.0,A,BB,BB,Masco Corporation
CZR,285.0,200.0,208.0,B,B,B,"Caesars Entertainment, Inc."
SJM,500.0,305.0,307.0,A,BB,BB,The J. M. Smucker Company
FDS,633.0,311.0,332.0,AA,BB,BB,FactSet Research Systems Inc.
MRO,530.0,305.0,306.0,A,BB,BB,Melrose Industries PLC
OMC,553.0,310.0,330.0,A,BB,BB,Omnicom Group Inc.
LKQ,505.0,305.0,300.0,A,BB,BB,LKQ Corporation
DPZ,205.0,200.0,201.0,B,B,B,"Dominos Pizza, Inc."
BEN,326.0,305.0,350.0,BB,BB,BB,"Franklin Resources, Inc."
CRL,510.0,245.0,322.0,A,BB,B,"Charles River Laboratories International, Inc."
IEX,360.0,240.0,306.0,BB,BB,B,IDEX Corporation
EMN,588.0,315.0,389.0,A,BB,BB,Eastman Chemical Company
ENPH,703.0,315.0,325.0,AA,BB,BB,"Enphase Energy, Inc."
GNRC,647.0,245.0,358.0,AA,BB,B,Generac Holdings Inc.
AVY,540.0,325.0,347.0,A,BB,BB,Avery Dennison Corporation
WAB,616.0,310.0,330.0,AA,BB,BB,Wabtec Corporation
J,200.0,210.0,202.0,B,B,B,JAS Asset Public Company Limited
3086,225.0,316.0,211.0,B,B,BB,J
DGX,230.0,205.0,300.0,B,BB,B,Quest Diagnostics Incorporated
CTLT,468.0,305.0,301.0,BBB,BB,BB,"Catalent, Inc."
MPWR,330.0,235.0,287.0,BB,B,B,"Monolithic Power Systems, Inc."
TRMB,510.0,310.0,326.0,A,BB,BB,Trimble Inc.
UDR,220.0,230.0,304.0,B,BB,B,"UDR, Inc."
BIO,285.0,300.0,227.0,B,B,BB,"Bio-Rad Laboratories, Inc."
CAG,505.0,300.0,300.0,A,BB,BB,"Conagra Brands, Inc."
KMX,234.0,305.0,238.0,B,B,BB,"CarMax, Inc."
CTRA,500.0,300.0,282.0,A,B,BB,Coterra Energy Inc.
HOLX,520.0,300.0,338.0,A,BB,BB,"Hologic, Inc."
CNP,550.0,260.0,310.0,A,BB,B,"CenterPoint Energy, Inc."
BXP,552.0,305.0,351.0,A,BB,BB,"Boston Properties, Inc."
DRI,645.0,310.0,334.0,AA,BB,BB,"Darden Restaurants, Inc."
CE,500.0,300.0,251.0,A,B,BB,Credito Emiliano
BRO,295.0,300.0,303.0,B,BB,BB,"Brown & Brown, Inc."
BR,595.0,340.0,314.0,A,BB,BB,"Broadridge Financial Solutions, Inc."
NVR,275.0,205.0,200.0,B,B,B,"NVR, Inc."
VTRS,356.0,300.0,301.0,BB,BB,BB,Viatris Inc.
ETSY,227.0,200.0,215.0,B,B,B,"Etsy, Inc."
TYL,370.0,305.0,306.0,BB,BB,BB,"Tyler Technologies, Inc."
IP,665.0,328.0,326.0,AA,BB,BB,International Paper Company
SBNY,256.0,215.0,210.0,B,B,B,Signature Bank
PAYC,456.0,315.0,305.0,BBB,BB,BB,"Paycom Software, Inc."
POOL,593.0,310.0,370.0,A,BB,BB,Pool Corporation
XYL,400.0,215.0,276.0,BBB,B,B,Xylem Inc.
FLT,385.0,300.0,229.0,BB,B,BB,"FLEETCOR Technologies, Inc."
TTWO,205.0,305.0,312.0,B,BB,BB,"Take-Two Interactive Software, Inc."
TER,462.0,315.0,332.0,BBB,BB,BB,"Teradyne, Inc."
CINF,225.0,250.0,274.0,B,B,B,Cincinnati Financial Corporation
CMS,550.0,325.0,667.0,A,AA,BB,CMS Energy Corporation
GPC,510.0,320.0,211.0,A,B,BB,Genuine Parts Company
PEAK,535.0,335.0,331.0,A,BB,BB,"Healthpeak Properties, Inc."
TDY,500.0,298.0,300.0,A,BB,B,Teledyne Technologies Incorporated
WAT,320.0,240.0,304.0,BB,BB,B,Waters Corporation
EXPD,510.0,300.0,302.0,A,BB,BB,"Expeditors International of Washington, Inc."
MGM,510.0,235.0,302.0,A,BB,B,MGM Resorts International
PFG,540.0,300.0,320.0,A,BB,BB,"Principal Financial Group, Inc."
RCL,500.0,300.0,300.0,A,BB,BB,Royal Caribbean Group
JBHT,535.0,300.0,391.0,A,BB,BB,"J.B. Hunt Transport Services, Inc."
COO,500.0,300.0,300.0,A,BB,BB,"The Cooper Companies, Inc."
CLX,593.0,355.0,361.0,A,BB,BB,The Clorox Company
VTR,500.0,300.0,301.0,A,BB,BB,"Ventas, Inc."
HPE,410.0,250.0,311.0,BBB,BB,B,Hewlett Packard Enterprise Company
VIAC,500.0,310.0,322.0,A,BB,BB,ViacomCBS Inc.
PKI,520.0,325.0,314.0,A,BB,BB,"PerkinElmer, Inc."
ESS,377.0,210.0,304.0,BB,BB,B,"Essex Property Trust, Inc."
RJF,500.0,305.0,309.0,A,BB,BB,"Raymond James Financial, Inc."
DRE,513.0,300.0,306.0,A,BB,BB,Duke Realty Corporation
CCL,560.0,310.0,359.0,A,BB,BB,Carnival Corporation & Plc
STE,510.0,305.0,301.0,A,BB,BB,STERIS plc
MTB,500.0,280.0,300.0,A,BB,B,M&T Bank Corporation
HBAN,243.0,285.0,300.0,B,BB,B,Huntington Bancshares Incorporated
RF,455.0,300.0,302.0,BBB,BB,BB,Eurazeo SE
CFG,225.0,200.0,220.0,B,B,B,"Citizens Financial Group, Inc."
ETR,515.0,310.0,306.0,A,BB,BB,Entergy Corporation
AEE,522.0,300.0,362.0,A,BB,BB,Ameren Corporation
K,315.0,323.0,380.0,BB,BB,BB,Kellogg Company
IR,525.0,310.0,314.0,A,BB,BB,Ingersoll Rand Inc.
FE,505.0,300.0,303.0,A,BB,BB,FirstEnergy Corp.
MAA,285.0,210.0,261.0,B,B,B,"Mid-America Apartment Communities, Inc."
PPL,520.0,300.0,301.0,A,BB,BB,PPL Corporation
IT,540.0,300.0,303.0,A,BB,BB,"Gartner, Inc."
LYV,404.0,275.0,300.0,BBB,BB,B,"Live Nation Entertainment, Inc."
GRMN,212.0,200.0,200.0,B,B,B,Garmin Ltd.
VRSN,575.0,305.0,348.0,A,BB,BB,"VeriSign, Inc."
BBY,465.0,305.0,229.0,BBB,B,BB,"Best Buy Co., Inc."
URI,497.0,300.0,309.0,BBB,BB,BB,"United Rentals, Inc."
DTE,557.0,210.0,310.0,A,BB,B,DTE Energy Company
KEY,515.0,300.0,308.0,A,BB,BB,KeyCorp
MLM,573.0,300.0,273.0,A,B,BB,"Martin Marietta Materials, Inc."
FANG,393.0,320.0,263.0,BB,B,BB,"Diamondback Energy, Inc."
EIX,700.0,315.0,573.0,AA,A,BB,Edison International
HIG,500.0,305.0,305.0,A,BB,BB,"The Hartford Financial Services Group, Inc."
NTRS,265.0,225.0,224.0,B,B,B,Northern Trust Corporation
ALB,545.0,305.0,345.0,A,BB,BB,Albemarle Corporation
CHD,568.0,348.0,341.0,A,BB,BB,"Church & Dwight Co., Inc."
DOV,515.0,300.0,302.0,A,BB,BB,Dover Corporation
SYF,330.0,300.0,322.0,BB,BB,BB,Synchrony Financial
VMC,565.0,300.0,319.0,A,BB,BB,Vulcan Materials Company
DAL,505.0,270.0,306.0,A,BB,B,"Delta Air Lines, Inc."
EPAM,540.0,330.0,338.0,A,BB,BB,"EPAM Systems, Inc."
FTV,540.0,305.0,326.0,A,BB,BB,Fortive Corporation
CDW,265.0,200.0,213.0,B,B,B,CDW Corporation
GWW,255.0,240.0,385.0,B,BB,B,"W.W. Grainger, Inc."
ZBRA,295.0,300.0,301.0,B,BB,BB,Zebra Technologies Corporation
ZBH,510.0,300.0,331.0,A,BB,BB,"Zimmer Biomet Holdings, Inc."
LUV,270.0,205.0,332.0,B,BB,B,Southwest Airlines Co.
HRL,540.0,300.0,320.0,A,BB,BB,Hormel Foods Corporation
LH,500.0,300.0,300.0,A,BB,BB,Laboratory Corporation of America Holdings
EXR,587.0,220.0,262.0,A,B,B,Extra Space Storage Inc.
MKC,500.0,300.0,300.0,A,BB,BB,"McCormick & Company, Incorporated"
OKE,381.0,365.0,324.0,BB,BB,BB,"ONEOK, Inc."
VFC,500.0,300.0,300.0,A,BB,BB,V.F. Corporation
ANSS,585.0,275.0,333.0,A,BB,B,"ANSYS, Inc."
TWTR,215.0,200.0,215.0,B,B,B,"Twitter, Inc."
O,500.0,300.0,300.0,A,BB,BB,Realty Income Corporation
EFX,390.0,300.0,324.0,BB,BB,BB,Equifax Inc.
HAL,257.0,210.0,233.0,B,B,B,HAL Trust
NUE,263.0,215.0,323.0,B,BB,B,Nucor Corporation
HES,380.0,300.0,321.0,BB,BB,BB,Hess Corporation
LEN,278.0,210.0,303.0,B,BB,B,Lennar Corporation
SWK,525.0,305.0,321.0,A,BB,BB,"Stanley Black & Decker, Inc."
